name,path,path_num,d18o_pdb,age_orig,age_edited,delta_days
SPL A4 Path K 56A,K,56,-4.99756,1972.664646,1972.664646,0.00
SPL A4 Path K 57A,K,57,-5.28151,1972.842403,1972.842403,0.00
SPL A4 Path K 58A,K,58,-5.32487,1972.901633,1972.901633,0.00
SPL A4 Path K 59A,K,59,-5.16677,1972.979720,1972.979720,0.00
SPL A4 Path K 60A,K,60,-5.04193,1973.022575,1973.022575,0.00
SPL A4 Path K 61A,K,61,-5.08925,1973.065459,1973.065459,0.00
SPL A4 Path K 62A,K,62,-5.07928,1973.108370,1973.108370,0.00
SPL A4 Path K 63A,K,63,-5.15118,1973.194255,1973.194255,0.00
SPL A4 Path K 64A,K,64,-5.37870,1973.256695,1973.256695,0.00
SPL A4 Path K 65A,K,65,-5.17640,1973.366190,1973.366190,0.00
SPL A4 Path K 66A,K,66,-5.33561,1973.451000,1973.451000,0.00
SPL A4 Path K 67A,K,67,-5.15023,1973.509510,1973.509510,0.00
SPL A4 Path K 68A,K,68,-5.10563,1973.566818,1973.566818,0.00
SPL A4 Path K 69A,K,69,-5.02315,1973.624103,1973.624103,0.00
SPL A4 Path K 70A,K,70,-4.92543,1973.706573,1973.706573,0.00
SPL A4 Path K 71A,K,71,-4.95576,1973.839847,1973.839847,0.00
SPL A4 Path K 72A,K,72,-5.03117,1973.972349,1973.972349,0.00
SPL A4 Path K 73A,K,73,-5.30726,1974.115503,1974.115503,0.00
SPL A4 Path K 74A,K,74,-4.95308,1974.233709,1974.233709,0.00
12 SPL-A4 Path J 1A,J,1,-4.89126,1974.450218,1974.450218,0.00
Path J 2A,J,2,-4.81136,1974.592518,1974.592518,0.00
Path J 3A,J,3,-4.93428,1974.686761,1974.686761,0.00
Path J 4A,J,4,-4.94822,1974.785566,1974.785566,0.00
Path J 5A,J,5,-4.97024,1974.862399,1974.862399,0.00
Path J 6A,J,6,-5.11875,1974.912399,1974.912399,0.00
Path J 7A,J,7,-5.03900,1975.055334,1975.055334,0.00
12 SPL-A4 Path I 1A,I,1,-5.29115,1975.100582,1975.100582,0.00
Path J 8A,J,8,-5.05855,1975.130502,1975.130502,0.00
Path I 2A,I,2,-5.24818,1975.189798,1975.189798,0.00
Path J 9A,J,9,-5.06188,1975.204516,1975.204516,0.00
Path J 10A,J,10,-5.09466,1975.277533,1975.277533,0.00
Path I 3A,I,3,-5.31500,1975.277533,1975.277533,0.00
Path J 11A,J,11,-4.92287,1975.385538,1975.385538,0.00
Path I 4A,I,4,-4.99479,1975.421213,1975.421213,0.00
Path J 12A,J,12,-4.89944,1975.492192,1975.492192,0.00
Path I 5A,I,5,-4.88518,1975.562810,1975.562810,0.00
Path J 13A,J,13,-4.88384,1975.598033,1975.598033,0.00
Path J 14A,J,14,-4.75815,1975.675187,1975.675187,0.00
Path I 6A,I,6,-4.95333,1975.745715,1975.745715,0.00
Path J 15A,J,15,-4.88222,1975.814726,1975.814726,0.00
Path I 7A,I,7,-5.09638,1975.953544,1975.953544,0.00
Path J 16A,J,16,-4.96009,1976.111211,1976.111211,0.00
Path I 8A,I,8,-5.21882,1976.275648,1976.275648,0.00
Path J 17A,J,17,-5.09585,1976.321543,1976.321543,0.00
Path I 9A,I,9,-5.18064,1976.355430,1976.355430,0.00
Path J 18A,J,18,-5.08026,1976.396571,1976.396571,0.00
Path J 19A,J,19,-4.88215,1976.509287,1976.509287,0.00
Path I 10A,I,10,-5.00666,1976.527822,1976.527822,0.00
Path J 20A,J,20,-4.78727,1976.582661,1976.582661,0.00
Path J 21A,J,21,-4.78893,1976.672305,1976.672305,0.00
Path I 11A,I,11,-4.87936,1976.724125,1976.724125,0.00
Path I 12A,I,12,-4.93900,1976.819052,1976.819052,0.00
Path J 23A,J,23,-4.73674,1976.777134,1976.777134,0.00
Path J 24A,J,24,-4.78913,1976.837675,1976.837675,0.00
Path I 13A,I,13,-5.00468,1976.869052,1976.869052,0.00
Path J 25A,J,25,-4.83976,1976.878133,1976.878133,0.00
Path I 14A,I,14,-5.22268,1976.919052,1976.919052,0.00
Path J 26A,J,26,-4.91255,1976.919052,1976.919052,0.00
Path J 27A,J,27,-5.29862,1976.947958,1976.947958,0.00
Path I 15A,I,15,-5.45645,1977.006690,1977.006690,0.00
Path J 28A,J,28,-5.40349,1976.977069,1976.977069,0.00
Path J 29A,J,29,-5.33155,1977.006377,1977.006377,0.00
Path I 16A,I,16,-5.37759,1977.083138,1977.083138,0.00
Path J 30A,J,30,-5.42921,1977.035874,1977.035874,0.00
Path I 17A,I,17,-5.41045,1977.198525,1977.198525,0.00
Path I 18A,I,18,-5.47283,1977.327884,1977.327884,0.00
Path I 19A,I,19,-5.35973,1977.386284,1977.386284,0.00
Path I 20A,I,20,-5.16180,1977.436284,1977.436284,0.00
Path I 21A,I,21,-5.18787,1977.581073,1977.581073,0.00
Path I 22A,I,22,-5.13661,1977.719233,1977.719233,0.00
Path I 23A,I,23,-5.05247,1977.904751,1977.904751,0.00
